,feature,corr,rf,xgb,lgb,corr_rank,rf_rank,xgb_rank,lgb_rank,rank
0,外部评分,0.13147985098845888,0.04935217256323949,0.007095328000000001,1863,1.0,1.0,6.0,9.0,17.0
1,出生日期距申请日期天数,0.10314229848897533,0.025556489240227902,0.0044700284,3026,2.0,4.0,22.0,1.0,29.0
6,工作日期距申请日期天数,0.09395471484798124,0.03920591279636661,0.0041484823,1981,7.0,2.0,25.0,8.0,42.0
7,工作日期距申请日期月数,0.09381774143999476,0.037345225340577735,0.008499352,907,8.0,3.0,4.0,44.0,59.0
37,最近一次换手机号码距申请日天数,0.07393449151706903,0.015442447369047091,0.0027754535,2241,38.0,6.0,68.0,5.0,117.0
93,商品价格,0.051893369495724886,0.009946017638549891,0.004110787,2054,94.0,15.0,26.0,7.0,142.0
52,分期付款应支付时间min,0.06410766047942906,0.010351974743394936,0.003585961,903,53.0,13.0,34.0,46.0,146.0
51,是否逾期meanmean,0.06478888441810374,0.010975172045047762,0.0034892366,874,52.0,12.0,37.0,48.0,149.0
8,信用额度比max_y,0.0840589318254712,0.008499923622791858,0.006927365400000001,256,9.0,23.0,8.0,115.0,155.0
58,居住信息4,0.06026086844376456,0.007865189205261887,0.003267833,1222,59.0,27.0,43.0,26.0,155.0
35,教育程度_1,0.07513833152942506,0.017039165720208343,0.010978095,224,36.0,5.0,2.0,123.0,166.0
40,性别,0.07168131590172701,0.008783085527530932,0.005482778000000001,320,41.0,20.0,14.0,102.0,177.0
53,分期付款实际支付时间min,0.06410235538775716,0.011632021134848168,0.002722113,756,54.0,8.0,70.0,51.0,183.0
19,收入类型_7,0.07692141251955044,0.010316828844641121,0.0062140319999999995,164,20.0,14.0,10.0,152.0,196.0
80,信用额度比min_x,0.05488398873165337,0.00953538734898108,0.002779541,1043,81.0,17.0,67.0,31.0,196.0
89,是否逾期summean,0.05312588972575127,0.0112816573142531,0.0034026705999999998,632,90.0,11.0,40.0,57.0,198.0
3,贷款年金sum比_d,0.10085672115493953,0.008760694035604023,0.004909033,162,4.0,21.0,17.0,156.0,198.0
47,身份认证日期距申请日期天数,0.06742324326834097,0.00860797407292993,0.0021767782,2344,48.0,22.0,128.0,4.0,202.0
14,客户居住地评分2,0.07882445181401303,0.005509331607441978,0.0043613245,250,15.0,50.0,24.0,117.0,206.0
38,最近一次换手机号码距申请日月数,0.07381248871484081,0.012538393263473864,0.0034487126000000002,228,39.0,7.0,39.0,122.0,207.0
17,客户居住地评分mean,0.07857675521747856,0.006673225386493553,0.0055707846999999994,174,17.0,39.0,13.0,145.0,214.0
72,客户类型_0mean_x,0.05647765299057261,0.006758224097196908,0.0035517656,500,73.0,36.0,35.0,75.0,219.0
10,信用额度比mean_y,0.08229337896383615,0.007979849965821273,0.003135018,179,11.0,26.0,51.0,142.0,230.0
